Klass;Ordning;Familj;Art;Kön;Latinskt namn;Lokal;Län;Datum;Bild;Kommentar;
;Gömfröiga;Korgblommiga;Prästkrage;;Leucanthemum vulgare;Gräsö;Uppland;2017-07-05;image033.jpg;;
;Gömfröiga;Korgblommiga;Strandaster;;Tripolium vulgare;Byxelkrok;Öland;2017-07-26;image111.jpg;;
Fröväxter;Gömfröiga;Korgblommiga;Ängshaverot;;Tragopogon pratensis;Källhagen;Sörmland;2017-07-19;image031.jpg;;
;Gömfröiga;Korgblommiga;Gråfibbla;;Pilosella officinarum;Gräsö;Uppland;2017-07-05;image035.jpg;;
;Gömfröiga;Korgblommiga;Sommarfibbla;;Leontodon hispidus;Byxelkrok;Öland;2017-07-26;image208.jpg;;
;Gömfröiga;Korgblommiga;Höstfibbla;;Leontodon autumnalis;Källhagen;Sörmland;2018-10-15;image484.jpg;;
;Gömfröiga;Korgblommiga;Flockfibbla;;Hieracium umbellatum;Lilla Horn;Öland;2917-08-03;image489.jpg;;
;Gömfröiga;Korgblommiga;Liten kardborre;;Arctium minus;Böda ;Öland;2017-07-29;image209.jpg;;
;Gömfröiga;Korgblommiga;Maskros;;Taraxacum;Järvafältet;Uppland;2018-05-10;image313.jpg;;
;Gömfröiga;Korgblommiga;Hästhovsört;;Tussilago farfara;Nackareserv;Sörmland;2018-05-05;image314.jpg;;
 ;Gömfröiga;Korgblommiga;Rödfibbla;;Hieracium aurantiacum;Källhagen;Sörmland;2017-06-14;image334.jpg;;
Fröväxter;Gömfröiga;Korgblommiga;Tusensköna;;Bellis perennis;Högenäs Orde;Öland;2018-05-20;image337.jpg;;
Fröväxter;Gömfröiga;Korgblommiga;Solros;;Helianthus annuus;Djurgården;Uppland;2018-09-04;image446.jpg;;
Fröväxter;Gömfröiga;Korgblommiga;Svinrot;;Scorzonera humulis;Byrum Sandvik;Öland;2018-05-22;image447.jpg;;
;Gömfröiga;Korgblommiga;Vårkorsört;;Senecio vernalis;Neptuni åkrar;Öland;2018-05-22;image448.jpg;;
;Gömfröiga;Korgblommiga;Väddklint;;Centaurea scabiosa;Böda ;Öland;2017-07-30;image464.jpg;;
Fröväxter;Gömfröiga;Ärtväxter;Kråkvicker;;Vicia cracca;Källhagen;Uppland;2017-06-14;image202.jpg;;
Fröväxter;Gömfröiga;Ärtväxter;Skogsvicker;;Vicia sylvatica;Källhagen;Uppland;2017-06-14;image293.jpg;;
;Gömfröiga;Ärtväxter;Gulvial;;Lathyrus pratensis;Gräsö;Uppland;2017-07-05;image204.jpg;;
;Gömfröiga;Ärtväxter;Backvial;;Lathyrus sylvestris;Byxelkrok;Öland;2017-07-27;image205.jpg;;
;Gömfröiga;Ärtväxter;Rödklöver;;Trifolium pratense;Harängen;Uppland;2019-06-22;image1014.JPG;;
;Gömfröiga;Ärtväxter;Skogsklöver;;Trifolium medium;Källahamn;Öland;2018-05-21;image317.jpg;;
;Gömfröiga;Ärtväxter;Kärringtand;;Lotus corniculatus;Högby Orde;Öland;2018-05-20;image316.jpg;;
Fröväxter;Gömfröiga;Ärtväxter;Vitklöver;;Trifolium repens;Källhagen;Sörmland;2018-06-28;image341.jpg;;
;Gömfröiga;Ärtväxter;Liten getväppling;;Anthyllis vulneraria;Högby Orde;Öland;2018-05-20;image455.jpg;;
Fröväxter;Gömfröiga;Ärtväxter;Blomsterlupin;;Lupinus polyphyllus;Källhagen;Sörmland;2017-06-15;image457.jpg;;
Fröväxter;Gömfröiga;Junfrulinväxter;Jungfrulin;;Polygala vulgaris;Ängsö;Uppland;2018-06-10;image473.jpg;;
Fröväxter;Gömfröiga;Näveväxter;Midsommarblomster;;Geranium sylvaticum;Källhagen;Sörmland;2017-06-15;image210.jpg;;
;Gömfröiga;Näveväxter;Blodnäva;;Geranium sanguineum;Harängen;Uppland;2017-06-23;image211.jpg;;
;Gömfröiga;Näveväxter;Flocknäva;;Geranium macrrorhizum;Källahamn;Öland;2018-05-26;image463.jpg;;
;Gömfröiga;Näveväxter;Sparvnäva;;Geranium pusillum;Saltsjö-Duvnäs;Sörmland;2017-08-24;image483.jpg;;
;Gömfröiga;Strävbladsväxter;Förgätmigej;;Myosotis scorpioides;Källhagen;Sörmland;2019-05-26;image1006.JPG;;
;Gömfröiga;Strävbladsväxter;Oxtunga;;Anchusa officinalis;Källahamn;Öland;2018-05-25;image331.jpg;;
Fröväxter;Gömfröiga;Strävbladsväxter;Blåeld;;Echium vulgare;Byxelkrok;Öland;2017-07-27;image393.jpg;;
Fröväxter;Gömfröiga;Strävbladsväxter;;;;;;;;;
;Gömfröiga;Strävbladsväxter;;;;;;;;;
;Gömfröiga;Strävbladsväxter;;;;;;;;;
Fröväxter;Gömfröiga;Strävbladsväxter;;;;;;;;;
Fröväxter;Gömfröiga;Flenörtsväxter;Kungsljus;;Verbascum thapsus;Köpingebro;Skåne;2014-07-04;;;
Fröväxter;Gömfröiga;Flenörtsväxter;Mörkt kungsljus;;Verbascum nigrum;Hemmesta sjöäng;Sörmland;2023-07-15;image530.jpg;;
;Gömfröiga;Flenörtsväxter;Ölandskungsljus;;Verbascum densiflorum;Böda;Öland;2017-08-01;image214.jpg;;
;Gömfröiga;Snyltrotsväxter;Ängskovall;;Melampyrum pratense ;Böda;Öland;2017-07-31;image215.jpg;;
;Gömfröiga;Snyltrotsväxter;Natt och Dag;;Melampyrum memorosum;Ängsö;Uppland;2018-06-10;image304.jpg;;
;Gömfröiga;Snyltrotsväxter;Höskallra;;Rhinanthus serotinus;Hemmesta sjöäng;Sörmland;2023-07-15;image534.jpg;;
;Gömfröiga;Snyltrotsväxter;;;;;;;;;
Fröväxter;Gömfröiga;Fackelblomsterväxter;Fackelblomster;;Lythrum salicaria;Böda;Öland;2017-08-01;image218.jpg;;
;Gömfröiga;Grobladsväxter;Teveronica;;Veronica chamaedrys;Källhagen;Sörmland;2017-06-15;image219.jpg;;
Fröväxter;Gömfröiga;Grobladsväxter;Gulsporre;;Linaria vulgaris;Källhagen;Sörmland;2018-08-24;image437.jpg;;
;Gömfröiga;Grobladsväxter;;;;;;;;;
FRöväxter;Gömfröiga;Grobladsväxter;;;;;;;;;
;Gömfröiga;Grobladsväxter;;;;;;;;;
;Gömfröiga;Grobladsväxter;;;;;;;;;
;Gömfröiga;Grobladsväxter;;;;;;;;;
